customer_state,pib_per_capita_2017,pib_per_capita_2018,gini_2017,gini_2018
AC,17204.21,17636.88,0.547,0.559
AL,15655.76,16375.56,0.525,0.55
AM,22945.14,24532.9,0.592,0.545
AP,19407.65,20247.53,0.589,0.548
BA,17512.79,19324.04,0.586,0.548
CE,16398.45,17178.26,0.547,0.547
DF,80515.47,85661.39,0.594,0.571
ES,28234.53,34493.12,0.504,0.507
GO,28316.09,28272.96,0.477,0.47
MA,12791.4,13955.75,0.526,0.527
MG,27291.11,29223.22,0.494,0.492
MS,35529.38,38925.85,0.465,0.491
MT,37926.22,39931.13,0.464,0.465
PA,18553.76,18952.21,0.506,0.561
PB,15500.16,16107.51,0.549,0.551
PE,19170.74,19623.65,0.551,0.535
PI,14091.93,15432.05,0.53,0.53
PR,37231.86,38772.74,0.48,0.491
RJ,40170.31,44222.66,0.519,0.544
RN,18336.45,19249.6,0.523,0.54
RO,24098.15,25554.31,0.447,0.497
RR,23160.88,23188.92,0.526,0.567
RS,37381.79,40362.75,0.481,0.486
SC,39603.47,42149.3,0.414,0.418
SE,17792.58,18442.63,0.55,0.576
SP,47028.89,48542.24,0.526,0.539
TO,22002.49,22933.07,0.496,0.53
