order_id,payment_value
74db91e33b4e1fd865356c89a61abf1f,20.03
8ce6c3ac0903448859d77c5279ac7876,20.08
e723fd90e2d095c2762e5e800d759bfa,20.1
c9235f8ee527574b6e127f65f016fa73,20.1
9509e22a50417250e3fd7a2bb03d584c,20.19
8e500747ed0fbfd6b89bb11955b3ccbf,20.28
92c006b2d334e2c603a6569c2a4ce53f,20.28
84d54e2fe6fc76e34d897b32c59dd75d,20.28
909818cba8c724b8cf698155d8ea838c,20.28
0e7e973a8d82ae12e070d767abed8960,20.29
21ad66a2631bea1c9b697b500c20f1c1,20.29
d764dbf4808e4b71b8602d2c1655767e,20.29
a8ddfd6f6316a1c31da18f179981ecc6,20.39
0209ef2fa3cce5eb798c98f5b6142849,20.45
3c910682dae253cf479fb6cefab5e751,20.52
86290fe54601847212ec62845fb027e5,20.52
256b2d808e8a564c42dfdb92b485219c,20.53
ad8adc3413ef931f82e9cc0e6c1ca009,20.62
cfdfa46e2f22c67f26fb469b93b88eee,20.7
8f090a4ecbd4bb8c286d0a1f88a6a55b,20.75
f575b5125a609778241c26809da9ed2b,20.75
fba1d12a47dc097a456f2aeff9191f87,20.75
ecdc847ed73d804147eb009dec3a0a0c,20.75
5d38e21bcfe6ead5e9e882d4f8c828b1,20.75
d0c3c2b7f8194da48a7f9954d79fa2e6,20.76
21098189656e63812f552eeabc4eea79,20.76
75a3f30121c49c5ad0085de582ba2451,20.77
9d5f8787d55cc08d6f9560414f44f491,20.77
ad810b94c2f3992f8c9ffd408af1e2c3,20.77
7d21fbcf5adce98ed57bc3ce5b30b754,20.86
ffa9f4ba8992cf704640411b3cc3fb90,20.86
e895bb1a02c9624c774e8d314d4ad0f7,20.87
ee6c0c64fe661230879a8491ce7dac76,20.93
378aab9f026bcce6c5d6b5b6453be88a,21.01
1f48aeb449520a42d9d2e7e1783e5a55,21.04
ca674a7cd949c98c9e02bc4c5922836d,21.09
8ffefeda31ab0d9c7c8b732ea9e1330e,21.1
9b1936414d93398380f940b3f86edb5b,21.1
104aeb5f53808a5bae6b96a7784a2b04,21.1
74392b22a4cf55ce851b04ca127f6ca6,21.1
73fa09600b87d64333b03f2fe849e096,21.1
01ac6cbac1cda667c97d35046b75668f,21.15
2adb2f19ddcdf638f5c1284f84e4fe18,21.16
12c4109395e2d739b7b358d3968c0e29,21.16
bbb45005fd322e2f3349b9b764a34d50,21.17
abdc23d84a4a4a01070f271f0c2917c0,21.24
1b18059100e6796d8551306a1876fc09,21.28
d9c720e3a638349cc85d8f2f1eff6ab7,21.38
4780bb3ca4c85d0e4dffd6cd2b6d6201,21.38
38f4a7cbe99605d56e5ef45ab0547b80,21.38
a5e045a63fbea3842f888a42153c61e3,21.39
63ad1c833ae5ad87b55b35ceacb7921b,21.41
6ccac061be472c84db514aca9acd26e0,21.43
df3166e4db1badb2414e9e95790a1771,21.71
07b9098123333f897ad332b7c9c3820d,21.72
65bd383b9f9b0b9de967055e198a8ddc,21.72
b11a56abf15c11b6a5c248689c6525af,21.72
cfa2b603d428bb936f63a21c3f2b99a9,21.75
de043cb17ef1ed9caf701f28478dfdfb,21.75
f17168721437c520f0336574d898eacb,21.76
a070e8f0f3a26a42c6c333b6d3a04dd2,21.76
0df6d3734fc28f15c08eb4a9f931e3a8,21.77
9c8b1a249b8f2acf28a69ae5526256c5,21.77
5908173cac04f7b1861e21b7f4f639da,21.77
f77ea394864509e417418362e526ce60,21.77
c378d1766ed412f14e38a4fd8547f9e9,21.77
e673b9f72a66b7dcb090a3a488f17649,21.77
3c4f4a215516b1f6013a569c7013f45d,21.77
0534ef1065535a4a5fd90098c1ad462b,21.77
7097d0ede6ff53506d935488dbe68d0e,21.77
4bd1099b6061705c9dc280f3f0c4324a,21.77
3937b5e90887b4a6c5e4102865c4338f,21.78
21c9855588b3946347dcaa1f159edcd8,21.78
3ec09614b4f70768683f64a1aea0a3a8,21.84
3c04118e4788bb999f7371015e3dbdbe,21.85
4c79c1a76f404601675c1fa508a3f839,21.85
21f7e2c9460028c7700dfb23395f9a3e,21.94
c235e3fbe42d171c9177e6664107170d,21.94
f1a96431843abf74cfdda6b6307971fa,21.95
639b603f09b7050c96e56cd03703437b,21.95
b75e81313e6d2e08c716bd845baff9a1,22.03
0560378d48b9de8b969d8f5601e3767e,22.07
6d85f03f010453a6addfef985314107d,22.1
269fb3a37e10ad284ed9ca4a34c32d09,22.1
28cda4e2c431cbb41d153d52ba95f894,22.14
1391638490f9af630fb84f5da6f40843,22.16
68e662b62c58ff7ef4002836145d6461,22.19
61074c7948c09364b80e2f7da862780c,22.24
f4a8925490afed995d0e987c48908d2c,22.29
8b01dbab48de4c2a6edcca84a1798df0,22.29
e8d2e0f8055b8badf48ce825cb6b6f35,22.29
f4a2e4ba8b38d477a33e67c8a7840352,22.29
16e51875d15c3c8ae1f48c03b5db49d6,22.29
3ddc60b196555a5b9632e7b59f655dc4,22.31
e9223fe7529db1d11fac85d4140bb536,22.33
236ff4e9c2ed220ff9d4186b729379b8,22.33
cf50fec98e2167d836c09c0ed57ba841,22.33
be05bd6519a58cf3d3e4ca73c99f5395,22.36
130afe1134371f8c69afe4999fc8d671,22.37
2411e5019928e883d049f7242362c23b,22.38
32dd7913bfe4d7f0647e7d5a5e711f2d,22.38
4149a422217937fae14ff5017fffeacc,22.38
9e9388221b25d449765ae3b8b908c4dd,22.38
10a2c5cabdf1f2dadfa09ab7491f1f04,22.39
85a08640d88815b0ede472adb059d337,22.39
7fc9c416ca9144971f5486875181bdcb,22.39
eaccdfa7ebc7197350752707a3103de3,22.42
81251f18621a822ad5b09593dfee4fc9,22.46
cec79ef92819a9f1f2009e1d8cf26db8,22.58
a60ea8fd020bfa5f5bf961965d429930,22.59
62c56a57f999877042b4e8a6fb4264f2,22.6
89cfeacd717a4616a558ca9118b13553,22.68
b1606afbb1c09900efef0b29a1baae84,22.7
1f21b2507e0c3918ef90ef86cdb2d14c,22.7
f24ceadb94b770c52ec2a07ac8e97100,22.71
3e5d60bbe5a6016db3afe77e64b4ea16,22.75
afa82d070bcac12eae0dd2f73d9debc8,22.75
bf5c20ebc5a7b05e2efd6ecb0e4f7b62,22.77
a077228a07e8b9b735ffd87f50d423e1,22.77
7616b4fdea3c711ae88b43651afb6ba7,22.77
b2953fe5cb836908b29ad9147658d6c0,22.78
4189d7b1c5bfba9152bf1ea5efab2be8,22.78
655cd199cc9b3c52c523833837c1921b,22.78
1f78837ac58fa81b2191c703d510080b,22.78
7f438a7265492dc79496a5fa80f7e5d3,22.78
6d710101fb9f067dd5385ea1b6021946,22.78
d0521cc69329a4336d7cd8919963d105,22.84
9989d0ec04100fce996f6e906ada0278,22.84
32db4da13d5f0ad10781de19e0973e88,22.84
b474873efc88629c172f639f9b47138d,22.84
868848b4871ab271d735d67e64584f81,22.84
0a584a18a05ee90c0e3793bb14a9ad3a,22.86
2825848807f070485f0f0ef3829758f4,22.86
963030216f9dfae3f21a1660bfed8274,22.93
98567268fada7e240bf12be972e03a19,22.95
78b705f0cc3c972f50aa93342f6797b0,22.95
68b4c4f5541fdc04be458209af970adb,22.950000000000003
f59598bb404b6266abfc1fc2d18aa79d,22.99
14066026f08d98c3316b5b8637282529,23.02
356ed2aedda45710304b7995223e54df,23.1
2504fffc2c378bdcd1a74f47fefd3a2b,23.11
fd28bd7a604fde40a52ee6716b971139,23.17
13753a4e6ae3b0201fb95003db4af823,23.19
c4ed5db53397cdd0f24bb4ba48f769f8,23.27
6826d5740591909e368433e2a5ec75fb,23.35
028e37ed7cdd54ad41506f61df708cf9,23.38
3172aacd2f6930dd21d765190030ff56,23.39
e833d2324ca8e55d593c0d9d8806c227,23.45
22ee91c7febb94838b3468761b7dd72c,23.46
748f5318aa38169f5901337bfec3afea,23.46
19025d18b19c3708839cb8d53432255a,23.6
57a82955454fb2a9a18633d841ac480d,23.62
200776f536a4425ab4212e0b0fe05562,23.68
b3ff0769befe096a6da428d9991321bd,23.68
4d8670f88c5a4efafebd84b26366ef48,23.68
762d133d5121c48c9e5c85be852eb0a6,23.68
41bb5cee06dbf170878a9ef93ac7e7f5,23.69
d15b4a7be0aedb9cd0f4330b1703b7c0,23.69
f995b728b456b3f0f5121d831f81adf4,23.72
d23fbf0412fd632a83af7dbd5cb2e948,23.72
641879e47a518bfcd257cdedda69f029,23.77
7adcb3fbea63cc564e4cab47e33354b4,23.77
9ed208208c017ceb64e3df1764bec8bd,23.78
0159b449009b3f8748ed7c56e9d84afe,23.78
a82e51ce2f7042d9be38b0cee1764b46,23.78
5ea599a9a67fae7fd7120b2b9add8a60,23.85
fc79bdcefc8fbd9f44f8cf9633793359,23.86
e13177c5e11c2a87dcfd3e87529664cc,23.86
58aebe1d668d109ff150b32efbffa817,23.86
34d3746ff00ec19dffcf5a7f6761a1eb,23.86
416947793fcfcfdb8304c26bc40fcb67,23.88
43e72a87fc0004d7ada32e7c5d72e063,23.89
7366deb07205707fdfa5b33582d4269e,23.9
22f5a4d80d9f247d6970456d5211d30d,23.91
378e9f1b518253964f1e82f349d90b7b,23.93
a1b804216bd2104b89826d9c884a06aa,24.0
471ca99c77519c786c0b63a0933b4b06,24.0
91d34a183e2eae29ccb607481a4d8ca5,24.06
7d1195a1ae8175a0713fbeeedb018fca,24.09
c5931c69b3085bba2cdb9c348ec86719,24.09
98035d9057b5e23020bd00138e680409,24.09
1dfc7ead9e47fdebed64c8ad48b4bb89,24.09
b6e2dffc706175b324dd0915ce5ff492,24.1
cf5e18822d6c886902d93a7a709a8950,24.1
d4646c4ab91c910a48e894192d0c5a97,24.1
d509aa49d39dc58a013b6e4a7d258648,24.1
