customer_state,total_orders,total_sales,pct_installment,pct_canceled,per_capita_avg,gini_avg
SP,41746,5998226.96,47.71,0.78,47785.57,0.533
RJ,12852,2144379.69,54.77,0.67,42196.49,0.532
MG,11635,1872257.26,54.07,0.55,28257.17,0.493
RS,5466,890898.54,50.59,0.46,38872.27,0.484
PR,5045,811156.38,49.44,0.44,38002.3,0.486
SC,3637,623086.43,49.79,0.52,40876.39,0.416
BA,3380,616645.82,58.28,0.47,18418.42,0.567
DF,2140,355141.08,49.49,0.33,83088.43,0.583
ES,2033,325967.55,54.45,0.44,31363.83,0.506
GO,2020,350092.31,53.96,0.64,28294.53,0.474
PE,1652,324850.44,62.77,0.3,19397.2,0.543
CE,1336,279464.03,62.72,0.52,16788.36,0.547
PA,975,218295.85,57.44,0.41,18752.99,0.534
MT,907,187029.29,54.36,0.22,38928.68,0.465
MA,747,152523.02,56.36,0.54,13373.58,0.527
MS,715,137534.84,49.79,0.28,37227.62,0.478
PB,536,141545.72,63.25,0.37,15803.84,0.55
PI,495,108523.97,60.0,0.81,14761.99,0.53
RN,485,102718.13,64.54,0.0,18793.03,0.532
AL,413,96962.06,66.1,0.24,16015.66,0.538
SE,350,75246.25,60.0,0.29,18117.61,0.563
TO,280,61485.33,53.21,0.36,22467.78,0.513
RO,253,60866.2,58.1,1.19,24826.23,0.472
AM,148,27966.93,54.73,0.0,23739.02,0.569
AC,81,19680.62,64.2,0.0,17420.54,0.553
AP,68,16262.8,55.88,0.0,19827.59,0.569
RR,46,10064.62,47.83,2.17,23174.9,0.547
