customer_state,total_orders,total_sales,installment_orders,installment_sales,pct_installment,canceled_orders,pct_canceled
SP,41746,5998226.96,19918,3622672.72,47.71,327,0.78
RJ,12852,2144379.69,7039,1401686.46,54.77,86,0.67
MG,11635,1872257.26,6291,1211105.48,54.07,64,0.55
RS,5466,890898.54,2765,544118.48,50.59,25,0.46
PR,5045,811156.38,2494,504538.99,49.44,22,0.44
SC,3637,623086.43,1811,391687.61,49.79,19,0.52
BA,3380,616645.82,1970,435018.05,58.28,16,0.47
DF,2140,355141.08,1059,223308.58,49.49,7,0.33
ES,2033,325967.55,1107,204437.88,54.45,9,0.44
GO,2020,350092.31,1090,227318.77,53.96,13,0.64
PE,1652,324850.44,1037,239320.55,62.77,5,0.3
CE,1336,279464.03,838,199586.25,62.72,7,0.52
PA,975,218295.85,560,145759.09,57.44,4,0.41
MT,907,187029.29,493,126473.5,54.36,2,0.22
MA,747,152523.02,421,96163.76,56.36,4,0.54
MS,715,137534.84,356,91250.5,49.79,2,0.28
PB,536,141545.72,339,96593.74,63.25,2,0.37
PI,495,108523.97,297,78333.7,60.0,4,0.81
RN,485,102718.13,313,74805.64,64.54,0,0.0
AL,413,96962.06,273,74821.67,66.1,1,0.24
SE,350,75246.25,210,50666.74,60.0,1,0.29
TO,280,61485.33,149,37643.47,53.21,1,0.36
RO,253,60866.2,147,38545.65,58.1,3,1.19
AM,148,27966.93,81,19221.88,54.73,0,0.0
AC,81,19680.62,52,14000.77,64.2,0,0.0
AP,68,16262.8,38,11195.06,55.88,0,0.0
RR,46,10064.62,22,6171.83,47.83,1,2.17
