order_date,daily_installment_sales,daily_non_installment_sales,running_installment_sales,running_non_installment_sales
2016-09-04,0.0,136.23,0.0,136.23
2016-09-05,75.06,0.0,75.06,136.23
2016-09-13,40.95,0.0,116.01,136.23
2016-10-02,0.0,109.34,116.01,245.57
2016-10-03,0.0,35.61,116.01,281.18
2016-10-04,34.42,0.0,150.43,281.18
2016-10-05,0.0,45.49,150.43,326.67
2016-10-06,162.6,0.0,313.03,326.67
2016-10-07,363.39,0.0,676.42,326.67
2016-10-08,68.72,0.0,745.14,326.67
2016-10-09,98.83,0.0,843.97,326.67
2016-10-10,0.0,87.51,843.97,414.18
2016-10-22,0.0,61.99,843.97,476.17
2016-12-23,0.0,19.62,843.97,495.79
2017-01-05,0.0,15.62,843.97,511.41
2017-01-06,0.0,21.45,843.97,532.86
2017-01-07,846.52,0.0,1690.49,532.86
2017-01-08,0.0,150.89,1690.49,683.75
2017-01-09,367.65,0.0,2058.14,683.75
2017-01-10,425.07,0.0,2483.21,683.75
2017-01-11,0.0,424.04,2483.21,1107.79
2017-01-12,399.72,0.0,2882.9300000000003,1107.79
2017-01-13,105.74,0.0,2988.67,1107.79
2017-01-14,160.67,0.0,3149.34,1107.79
2017-01-15,0.0,169.4,3149.34,1277.19
2017-01-16,0.0,55.11,3149.34,1332.3
2017-01-17,0.0,60.42,3149.34,1392.72
2017-01-18,123.04,0.0,3272.38,1392.72
2017-01-19,0.0,25.51,3272.38,1418.23
2017-01-20,0.0,51.64,3272.38,1469.8700000000001
2017-01-21,0.0,448.05,3272.38,1917.92
2017-01-22,76.74,0.0,3349.12,1917.92
2017-01-23,0.0,76.84,3349.12,1994.76
2017-01-24,302.58,0.0,3651.7,1994.76
2017-01-25,0.0,123.06,3651.7,2117.82
2017-01-26,0.0,239.64,3651.7,2357.46
2017-01-27,0.0,59.96,3651.7,2417.42
2017-01-28,0.0,137.6,3651.7,2555.02
2017-01-29,105.74,0.0,3757.4399999999996,2555.02
2017-01-30,0.0,114.1,3757.4399999999996,2669.12
2017-01-31,45.4,0.0,3802.8399999999997,2669.12
2017-02-01,125.53,0.0,3928.37,2669.12
2017-02-02,64.26,0.0,3992.63,2669.12
2017-02-03,89.56,0.0,4082.19,2669.12
2017-02-04,264.86,0.0,4347.05,2669.12
2017-02-05,0.0,25.85,4347.05,2694.97
2017-02-06,0.0,40.86,4347.05,2735.83
2017-02-07,0.0,102.23,4347.05,2838.06
2017-02-08,97.27,0.0,4444.320000000001,2838.06
2017-02-09,0.0,203.42,4444.320000000001,3041.48
2017-02-10,0.0,215.66,4444.320000000001,3257.14
2017-02-11,0.0,165.21,4444.320000000001,3422.35
2017-02-12,42.42,0.0,4486.740000000001,3422.35
2017-02-13,0.0,45.95,4486.740000000001,3468.2999999999997
2017-02-14,136.13,0.0,4622.870000000001,3468.2999999999997
2017-02-15,0.0,70.7,4622.870000000001,3538.9999999999995
2017-02-16,0.0,148.98,4622.870000000001,3687.9799999999996
2017-02-17,243.43,0.0,4866.300000000001,3687.9799999999996
2017-02-18,573.85,0.0,5440.1500000000015,3687.9799999999996
2017-02-19,0.0,161.02,5440.1500000000015,3848.9999999999995
2017-02-20,173.21,0.0,5613.3600000000015,3848.9999999999995
2017-02-21,0.0,56.64,5613.3600000000015,3905.6399999999994
2017-02-22,0.0,69.9,5613.3600000000015,3975.5399999999995
2017-02-23,0.0,57.51,5613.360000000001,4033.05
2017-02-24,0.0,53.96,5613.360000000001,4087.01
2017-02-25,0.0,87.51,5613.360000000001,4174.52
2017-02-26,33.51,0.0,5646.870000000001,4174.52
2017-02-27,145.59,0.0,5792.460000000001,4174.52
2017-02-28,667.71,0.0,6460.170000000001,4174.52
2017-03-01,0.0,222.09,6460.170000000001,4396.610000000001
2017-03-02,114.77,0.0,6574.940000000001,4396.610000000001
2017-03-03,212.0,0.0,6786.940000000001,4396.610000000001
2017-03-04,0.0,21.71,6786.940000000001,4418.320000000001
2017-03-05,0.0,5.52,6786.940000000001,4423.840000000001
2017-03-06,0.0,143.2,6786.940000000001,4567.040000000001
2017-03-07,237.62,0.0,7024.560000000001,4567.040000000001
2017-03-08,0.0,81.05,7024.560000000001,4648.090000000001
2017-03-09,0.0,159.12,7024.560000000001,4807.210000000001
2017-03-10,34.42,0.0,7058.980000000001,4807.210000000001
2017-03-11,41.51,0.0,7100.490000000001,4807.21
2017-03-12,139.27,0.0,7239.760000000001,4807.21
2017-03-13,125.8,0.0,7365.560000000001,4807.21
2017-03-14,64.74,0.0,7430.300000000001,4807.21
2017-03-15,0.0,62.84,7430.300000000001,4870.05
2017-03-16,31.42,0.0,7461.720000000001,4870.05
2017-03-17,89.25,0.0,7550.970000000001,4870.05
2017-03-18,169.28,0.0,7720.250000000001,4870.05
2017-03-19,0.0,50.95,7720.250000000001,4921.0
2017-03-20,3042.36,0.0,10762.61,4921.0
2017-03-21,245.68,0.0,11008.29,4921.0
2017-03-22,285.26,0.0,11293.550000000001,4921.0
2017-03-23,38.42,0.0,11331.970000000001,4921.0
2017-03-24,0.0,49.51,11331.970000000001,4970.51
2017-03-25,0.0,60.42,11331.970000000001,5030.93
2017-03-26,0.0,49.55,11331.970000000001,5080.4800000000005
