customer_state,pib_per_capita_2017,pib_per_capita_2018,gini_2017,gini_2018,per_capita_avg,gini_avg
AC,17204.21,17636.88,0.547,0.559,17420.54,0.553
AL,15655.76,16375.56,0.525,0.55,16015.66,0.538
AM,22945.14,24532.9,0.592,0.545,23739.02,0.569
AP,19407.65,20247.53,0.589,0.548,19827.59,0.569
BA,17512.79,19324.04,0.586,0.548,18418.42,0.567
CE,16398.45,17178.26,0.547,0.547,16788.36,0.547
DF,80515.47,85661.39,0.594,0.571,83088.43,0.583
ES,28234.53,34493.12,0.504,0.507,31363.83,0.506
GO,28316.09,28272.96,0.477,0.47,28294.53,0.474
MA,12791.4,13955.75,0.526,0.527,13373.58,0.527
MG,27291.11,29223.22,0.494,0.492,28257.17,0.493
MS,35529.38,38925.85,0.465,0.491,37227.62,0.478
MT,37926.22,39931.13,0.464,0.465,38928.68,0.465
PA,18553.76,18952.21,0.506,0.561,18752.99,0.534
PB,15500.16,16107.51,0.549,0.551,15803.84,0.55
PE,19170.74,19623.65,0.551,0.535,19397.2,0.543
PI,14091.93,15432.05,0.53,0.53,14761.99,0.53
PR,37231.86,38772.74,0.48,0.491,38002.3,0.486
RJ,40170.31,44222.66,0.519,0.544,42196.49,0.532
RN,18336.45,19249.6,0.523,0.54,18793.03,0.532
RO,24098.15,25554.31,0.447,0.497,24826.23,0.472
RR,23160.88,23188.92,0.526,0.567,23174.9,0.547
RS,37381.79,40362.75,0.481,0.486,38872.27,0.484
SC,39603.47,42149.3,0.414,0.418,40876.39,0.416
SE,17792.58,18442.63,0.55,0.576,18117.61,0.563
SP,47028.89,48542.24,0.526,0.539,47785.57,0.533
TO,22002.49,22933.07,0.496,0.53,22467.78,0.513
